DATE,T5YIE
2018-08-20,1.95
2018-08-21,1.97
2018-08-22,1.96
2018-08-23,1.99
2018-08-24,1.99
2018-08-27,2.0
2018-08-28,1.99
2018-08-29,2.0
2018-08-30,1.99
2018-08-31,1.98
2018-09-03,.
2018-09-04,1.99
2018-09-05,1.98
2018-09-06,1.97
2018-09-07,1.98
2018-09-10,1.98
2018-09-11,2.01
2018-09-12,2.02
2018-09-13,1.98
2018-09-14,2.0
2018-09-17,1.99
2018-09-18,2.01
2018-09-19,2.02
2018-09-20,2.02
2018-09-21,2.02
2018-09-24,2.03
2018-09-25,2.05
2018-09-26,2.04
2018-09-27,2.04
2018-09-28,2.03
2018-10-01,2.04
2018-10-02,2.03
2018-10-03,2.07
2018-10-04,2.06
2018-10-05,2.05
2018-10-08,.
2018-10-09,2.05
2018-10-10,2.04
2018-10-11,1.99
2018-10-12,1.99
2018-10-15,2.0
2018-10-16,2.01
2018-10-17,2.0
2018-10-18,1.99
2018-10-19,1.98
2018-10-22,1.98
2018-10-23,1.94
2018-10-24,1.93
2018-10-25,1.91
2018-10-26,1.93
2018-10-29,1.92
2018-10-30,1.91
2018-10-31,1.9
2018-11-01,1.88
2018-11-02,1.91
2018-11-05,1.91
2018-11-06,1.92
2018-11-07,1.93
2018-11-08,1.92
2018-11-09,1.9
2018-11-12,.
2018-11-13,1.88
2018-11-14,1.85
2018-11-15,1.85
2018-11-16,1.88
2018-11-19,1.85
2018-11-20,1.82
2018-11-21,1.81
2018-11-22,.
2018-11-23,1.77
2018-11-26,1.78
2018-11-27,1.73
2018-11-28,1.74
2018-11-29,1.79
2018-11-30,1.77
2018-12-03,1.76
2018-12-04,1.74
2018-12-05,.
2018-12-06,1.69
2018-12-07,1.68
2018-12-10,1.65
2018-12-11,1.62
2018-12-12,1.62
2018-12-13,1.62
2018-12-14,1.6
2018-12-17,1.58
2018-12-18,1.58
2018-12-19,1.56
2018-12-20,1.53
2018-12-21,1.55
2018-12-24,1.52
2018-12-25,.
2018-12-26,1.57
2018-12-27,1.53
2018-12-28,1.52
2018-12-31,1.51
2019-01-01,.
2019-01-02,1.49
2019-01-03,1.49
2019-01-04,1.58
2019-01-07,1.61
2019-01-08,1.66
2019-01-09,1.68
2019-01-10,1.65
2019-01-11,1.66
2019-01-14,1.64
2019-01-15,1.63
2019-01-16,1.64
2019-01-17,1.64
2019-01-18,1.67
2019-01-21,.
2019-01-22,1.63
2019-01-23,1.64
2019-01-24,1.62
2019-01-25,1.64
2019-01-28,1.62
2019-01-29,1.62
2019-01-30,1.68
2019-01-31,1.7
2019-02-01,1.72
2019-02-04,1.72
2019-02-05,1.72
2019-02-06,1.71
2019-02-07,1.69
2019-02-08,1.69
2019-02-11,1.69
2019-02-12,1.71
2019-02-13,1.76
2019-02-14,1.74
2019-02-15,1.75
2019-02-18,.
2019-02-19,1.76
2019-02-20,1.79
2019-02-21,1.8
2019-02-22,1.82
2019-02-25,1.82
2019-02-26,1.82
2019-02-27,1.84
2019-02-28,1.84
2019-03-01,1.85
2019-03-04,1.84
2019-03-05,1.83
2019-03-06,1.81
2019-03-07,1.8
2019-03-08,1.8
2019-03-11,1.82
2019-03-12,1.81
